Agent,Date,Grade,Market,Origin,Package,Price,Quantity,ShippingType,Species,TradeType,Unit,UnitScale
안산농산물,20151201,특,안산농수산물도매시장,,상자,8500,12,협동,장희,경매,1.5,kg
안산농산물,20151202,특,안산농수산물도매시장,,상자,12000,35,협동,장희,경매,1.5,kg
안산농산물,20151211,특,안산농수산물도매시장,,상자,11500,15,협동,장희,경매,1.5,kg
안산농산물,20151209,특,안산농수산물도매시장,,상자,16500,4,협동,장희,경매,1.5,kg
안산농산물,20151202,특,안산농수산물도매시장,,상자,15000,3,협동,설향,경매,2,kg
안산농산물,20151211,특,안산농수산물도매시장,,상자,8000,8,협동,설향,경매,1.5,kg
수원청과,20151211,무등급,수원농수산물도매시장,,기타,14500,15,협동,설향,경매,2,kg
수원청과,20151211,무등급,수원농수산물도매시장,,기타,11000,4,협동,설향,경매,2,kg
수원청과,20151204,무등급,수원농수산물도매시장,,기타,14000,4,협동,설향,경매,2,kg
수원청과,20151204,무등급,수원농수산물도매시장,,기타,22000,17,협동,설향,경매,2,kg
수원청과,20151207,무등급,수원농수산물도매시장,,기타,22500,15,협동,설향,경매,2,kg
수원청과,20151207,무등급,수원농수산물도매시장,,기타,17000,17,협동,설향,경매,2,kg
수원청과,20151208,무등급,수원농수산물도매시장,,기타,20600,10,협동,설향,경매,2,kg
강릉농산물,20151210,상,강릉농산물도매시장,,상자,6800,1,협동,설향,경매,1.5,kg
원주원협(공),20151209,특,원주농산물도매시장,,기타,16000,5,개별,설향,경매,2,kg
합동청과,20151211,무등급,원주농산물도매시장,,기타,8000,13,협동,기타,경매,2,kg
합동청과,20151209,무등급,원주농산물도매시장,,기타,19200,25,협동,기타,경매,2,kg
충북원협(충주),20151210,상,충주농수산물도매시장,,기타,10000,25,개별,기타,경매,1.5,kg
천안농협(공),20151209,특,천안농산물도매시장,,기타,10000,52,개별,장희,경매,1.5,kg
천안농협(공),20151208,특,천안농산물도매시장,,기타,11000,2,개별,매향,경매,1.5,kg
천안농협(공),20151202,특,천안농산물도매시장,,기타,25000,13,개별,설향,경매,2,kg
천안농협(공),20151207,특,천안농산물도매시장,,기타,25000,9,개별,설향,경매,2,kg
천안농협(공),20151210,특,천안농산물도매시장,,기타,17000,7,개별,설향,경매,2,kg
포항청과,20151208,등외,포항농산물도매시장,,상자,6000,14,계통,설향,경매,1,kg
포항농협(공),20151201,특,포항농산물도매시장,경상북도 경주시,기타,21000,16,개별,설향,경매,1.5,kg
구미농협(공),20151209,특,구미농산물도매시장,,기타,21500,17,개별,설향,경매,2,kg
수원원협(공),20151211,상,수원농수산물도매시장,,기타,13500,6,상인,설향,경매,2,kg
수원청과,20151207,무등급,수원농수산물도매시장,,P-BOX,10600,33,협동,설향,경매,1,kg
수원청과,20151208,무등급,수원농수산물도매시장,,기타,21000,15,협동,설향,경매,2,kg
합동청과,20151209,무등급,원주농산물도매시장,,기타,13100,44,협동,기타,경매,1.5,kg
충북원협(충주),20151210,특,충주농수산물도매시장,,기타,16500,32,개별,설향,경매,1.5,kg
충북원협(충주),20151210,상,충주농수산물도매시장,,기타,7000,5,개별,설향,경매,1,kg
천안농협(공),20151211,특,천안농산물도매시장,,기타,11000,6,개별,기타,경매,1.5,kg
천안농협(공),20151210,특,천안농산물도매시장,,기타,10000,2,개별,기타,경매,1.5,kg
천안농협(공),20151204,특,천안농산물도매시장,,기타,12000,18,개별,장희,경매,1.5,kg
천안농협(공),20151207,상,천안농산물도매시장,,기타,13000,1,개별,설향,경매,2,kg
천안농협(공),20151208,보통,천안농산물도매시장,,기타,11000,5,개별,설향,경매,1.5,kg
포항청과,20151201,상,포항농산물도매시장,경상북도 포항시,상자,14000,3,계통,설향,경매,1.5,kg
포항청과,20151209,특,포항농산물도매시장,,상자,12600,37,계통,설향,경매,1.5,kg
경북능금농협(공),20151211,특,포항농산물도매시장,,기타,12200,4,개별,설향,경매,1.5,kg
경북능금농협(공),20151211,특,포항농산물도매시장,경상북도 경주시,기타,13700,19,개별,설향,경매,1.5,kg
