Agent,Date,Grade,Market,Origin,Package,Price,Quantity,ShippingType,Species,TradeType,Unit,UnitPrice
안산농산물,20150210,특,안산농수산물도매시장,충청남도 논산시,상자,13500,33,협동,장희,경매,2,6750
안산농산물,20150211,특,안산농수산물도매시장,경상남도 진주시,상자,11000,25,협동,장희,경매,1.5,7334
안산농산물,20150211,특,안산농수산물도매시장,경상남도 진주시,상자,7500,8,협동,장희,경매,1.5,5000
안산농산물,20150227,상,안산농수산물도매시장,경상남도 진주시,접시용기,4000,7,협동,장희,경매,1.5,2667
안산농산물,20150228,특,안산농수산물도매시장,경상남도 진주시,상자,8000,20,협동,장희,경매,1.5,5334
안산농산물,20150228,특,안산농수산물도매시장,경상남도 진주시,상자,8500,12,협동,장희,경매,1.5,5667
안산농산물,20150228,상,안산농수산물도매시장,경상남도 진주시,접시용기,7200,4,협동,장희,경매,1.5,4800
안산농산물,20150202,특,안산농수산물도매시장,경상남도 진주시,상자,6500,2,협동,매향,경매,1.5,4334
안산농산물,20150206,특,안산농수산물도매시장,경상남도 진주시,상자,6000,1,협동,매향,경매,1.5,4000
안산농산물,20150217,특,안산농수산물도매시장,경상남도 진주시,상자,16000,34,협동,설향,경매,2,8000
안산농산물,20150217,특,안산농수산물도매시장,경상남도 진주시,상자,9000,6,협동,설향,경매,2,4500
안산농산물,20150202,4등,안산농수산물도매시장,경상남도 진주시,접시용기,5200,12,협동,설향,경매,1,5200
안산농산물,20150202,보통,안산농수산물도매시장,경상남도 진주시,접시용기,6800,18,협동,설향,경매,1,6800
안산농산물,20150202,특,안산농수산물도매시장,충청남도 논산시,P-BOX,11500,40,개별,설향,경매,1,11500
안산농산물,20150202,특,안산농수산물도매시장,충청남도 논산시,P-BOX,10000,50,개별,설향,경매,1,10000
안산농산물,20150202,특,안산농수산물도매시장,충청남도 논산시,P-BOX,9000,20,개별,설향,경매,1,9000
안산농산물,20150210,특,안산농수산물도매시장,충청남도 논산시,상자,6500,5,협동,설향,경매,2,3250
안산농산물,20150211,특,안산농수산물도매시장,경상남도 진주시,상자,12000,17,협동,설향,경매,2,6000
안산농산물,20150223,특,안산농수산물도매시장,경상남도 진주시,상자,9000,19,협동,설향,경매,2,4500
안산농산물,20150223,특,안산농수산물도매시장,경상남도 진주시,상자,10500,95,협동,설향,경매,2,5250
안산농산물,20150223,특,안산농수산물도매시장,경상남도 진주시,상자,6000,10,협동,설향,경매,2,3000
안산농산물,20150223,특,안산농수산물도매시장,충청남도 논산시,상자,12000,110,협동,설향,경매,2,6000
안산농산물,20150223,특,안산농수산물도매시장,충청남도 논산시,상자,12000,40,협동,설향,경매,2,6000
안산농산물,20150203,특,안산농수산물도매시장,충청남도 논산시,상자,8000,8,협동,설향,경매,2,4000
안산농산물,20150203,보통,안산농수산물도매시장,충청남도 논산시,상자,5500,2,개별,설향,경매,2,2750
안산농산물,20150203,특,안산농수산물도매시장,경상남도 진주시,상자,11000,8,협동,설향,경매,2,5500
안산농산물,20150212,특,안산농수산물도매시장,충청남도 논산시,상자,11000,1,협동,설향,경매,2,5500
안산농산물,20150212,보통,안산농수산물도매시장,충청남도 논산시,P-BOX,2000,5,협동,설향,경매,1,2000
안산농산물,20150212,특,안산농수산물도매시장,경상남도 진주시,상자,9000,25,협동,설향,경매,2,4500
안산농산물,20150212,특,안산농수산물도매시장,경상남도 진주시,상자,5500,21,협동,설향,경매,1.5,3667
안산농산물,20150204,특,안산농수산물도매시장,충청남도 논산시,상자,6000,7,협동,설향,경매,2,3000
안산농산물,20150204,특,안산농수산물도매시장,충청남도 논산시,상자,17500,48,협동,설향,경매,2,8750
안산농산물,20150204,특,안산농수산물도매시장,경상남도 진주시,상자,16500,10,협동,설향,경매,2,8250
안산농산물,20150204,특,안산농수산물도매시장,경상남도 진주시,상자,8500,6,협동,설향,경매,2,4250
